7.090000000000000000e+02	7.120000000000000000e+02
7.440000000000000000e+02	7.730000000000000000e+02
4.860000000000000000e+02	1.546000000000000000e+03
1.675000000000000000e+03	1.674000000000000000e+03
9.680000000000000000e+02	1.390000000000000000e+03
8.830000000000000000e+02	1.256000000000000000e+03
8.850000000000000000e+02	1.255000000000000000e+03
7.230000000000000000e+02	5.440000000000000000e+02
1.437000000000000000e+03	1.163000000000000000e+03
8.560000000000000000e+02	8.530000000000000000e+02
8.650000000000000000e+02	8.640000000000000000e+02
1.675000000000000000e+03	1.547000000000000000e+03
1.409000000000000000e+03	1.410000000000000000e+03
1.153000000000000000e+03	1.152000000000000000e+03
1.092000000000000000e+03	1.301000000000000000e+03
7.390000000000000000e+02	1.034000000000000000e+03
9.810000000000000000e+02	1.137000000000000000e+03
1.346000000000000000e+03	1.474000000000000000e+03
1.720000000000000000e+03	1.510000000000000000e+03
1.735000000000000000e+03	1.733000000000000000e+03
